,locality,category_main_cb,furnished,object_type,parking_lots,price_summary_unit_cb,locality_street_id,terrace,balcony,locality_district_id,locality_ward_id,loggia,category_sub_cb,building_type,elevator,locality_gps_lat,basin,locality_region_id,category_type_cb,hash_id,cellar,object_kind,locality_gps_lon,usable_area,locality_quarter_id,ownership,locality_municipality_id,low_energy,easy_access,building_condition,locality_country_id,garage,room_count_cb,energy_efficiency_rating_cb,price_summary_czk,garden_area,estate_area
1641,"Holýšovská, Praha 5 - Stodůlky",1.0,1.0,0.0,0.0,2.0,125118.0,0.0,1.0,5005.0,14962.0,0.0,2.0,6.0,1.0,50.0410558333,0.0,10.0,2.0,1775400268.0,0.0,0.0,14.3197138889,31.0,98.0,1.0,3468.0,1.0,0.0,1.0,112.0,0.0,0.0,0.0,17000.0,,
1642,"Ocelářská, Praha 9 - Vysočany",1.0,3.0,0.0,0.0,2.0,121205.0,1.0,0.0,5009.0,14969.0,0.0,4.0,2.0,1.0,50.106577,0.0,10.0,2.0,3167909196.0,1.0,0.0,14.496848,50.0,119.0,1.0,3468.0,0.0,0.0,1.0,112.0,1.0,0.0,2.0,20000.0,,
1643,"Sokolovská, Praha 9 - Vysočany",1.0,2.0,0.0,0.0,2.0,121881.0,0.0,0.0,5009.0,14969.0,0.0,3.0,7.0,0.0,50.1096103219507,0.0,10.0,2.0,2010281292.0,0.0,0.0,14.4973332055344,40.0,119.0,2.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,15000.0,,
1644,"Štramberská, Praha 10 - Dubeč",1.0,0.0,0.0,0.0,2.0,124019.0,0.0,0.0,5010.0,2286.0,0.0,2.0,2.0,0.0,50.0634000927766,0.0,10.0,2.0,638649676.0,0.0,0.0,14.5882515230534,16.0,136.0,1.0,3468.0,0.0,2.0,1.0,112.0,0.0,0.0,2.0,5800.0,,
1645,"Kolbenova, Praha 9 - Vysočany",1.0,1.0,0.0,0.0,2.0,119617.0,0.0,0.0,5009.0,14969.0,0.0,2.0,7.0,1.0,50.1104885506,0.0,10.0,2.0,2579658060.0,0.0,0.0,14.5073294052,32.0,119.0,1.0,3468.0,0.0,2.0,6.0,112.0,0.0,0.0,2.0,18500.0,,
1646,"Bělohorská, Praha 6 - Břevnov",1.0,0.0,0.0,0.0,2.0,119268.0,0.0,0.0,5006.0,14948.0,0.0,4.0,7.0,1.0,50.084866,0.0,10.0,2.0,3519182156.0,0.0,0.0,14.378806,47.0,107.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,16500.0,,
1647,"Lucemburská, Praha 3 - Vinohrady",1.0,2.0,0.0,0.0,2.0,120422.0,0.0,0.0,5003.0,14967.0,0.0,4.0,2.0,1.0,50.078804,0.0,10.0,2.0,1703748940.0,0.0,0.0,14.4545975,50.0,89.0,1.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,7.0,24200.0,,
1648,"Pod viaduktem, Praha 5 - Stodůlky",1.0,1.0,0.0,1.0,2.0,124688.0,1.0,0.0,5005.0,14962.0,0.0,6.0,2.0,2.0,50.062930951,0.0,10.0,2.0,183661900.0,0.0,0.0,14.317205211,77.0,98.0,1.0,3468.0,0.0,2.0,1.0,112.0,1.0,3.0,0.0,32000.0,,
1649,"Na chobotě, Praha 6 - Řepy",1.0,2.0,0.0,0.0,2.0,119625.0,0.0,0.0,5006.0,13699.0,0.0,4.0,5.0,1.0,50.066347,0.0,10.0,2.0,1467229516.0,0.0,0.0,14.297089,45.0,111.0,1.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,0.0,19000.0,,
1650,"Konviktská, Praha 1 - Staré Město",1.0,1.0,0.0,0.0,2.0,120195.0,0.0,1.0,5001.0,13674.0,1.0,4.0,2.0,1.0,50.0828076922,0.0,10.0,2.0,1581385036.0,0.0,0.0,14.4141553319,70.0,87.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,0.0,29000.0,,
